citys                                      ,content                                                                                                                                                                                                                                                                                                                                                               ,evaluate,labs,nams          ,scores,times          ,user_info                                              ,votes
['Aland Islands']                          ,铺垫又臭又长，核心人物逻辑崩坏，并且永远在该认真的地方搞笑，你看我笑了吗？??                                                                                                                                                                                                                                                                                                                               ,较差      ,看过  ,趴             ,['20'],2019/4/24 6:13 ,"['49129482 ', ' 2011-01-30加入']"                       ,507
['山东潍坊']                                   ,这个剧情真是生拉硬凑强行煽情。果然是第三部玩大了，这次圆不动了。还好意思吐槽《回到未来》，勇气可嘉。                                                                                                                                                                                                                                                                                                                    ,很差      ,看过  ,质异如星          ,['10'],2019/4/24 2:55 ,"['43666383 ', ' 2010-07-20加入']"                       ,462
['广东河源']                                   ,剧情太容易被猜想到了，有点假，虽然是系列终结篇，但真的觉得没意思                                                                                                                                                                                                                                                                                                                                      ,很差      ,看过  ,wuwu-qq       ,['10'],2019/4/24 7:14 ,"['wuwu-WU ', ' 2016-02-02加入']"                        ,327
"['台北, 台湾']"                               ,片長災難，前兩小時既臭長又走板，最後定住全劇的還是第三集就埋好的隱寓──鋼鐵人和薩諾斯，其實是同一個人。他倆將正義（秩序）追求訴諸於力量擴增（擴軍／鐵甲）的最終結果，必然將是自己輾壓其他種類的正義，例如彼此。直到絕對力量套上手指的一刻，薩諾斯選擇成神，東尼則選擇成仁，才劃出了他倆靈魂的分別。MCU的十年，本質是屬於鋼鐵人的十年。                                                                                                                                                                                                 ,较差      ,看过  ,焚紙樓           ,['20'],2019/4/24 22:29,"['80722428 ', ' 2013-12-03加入']"                       ,247
[]                                         ,盾冬玩家彻底被割韭菜，不打一分对不起自己良心！！！                                                                                                                                                                                                                                                                                                                                             ,很差      ,看过  ,D.A.V.Delta   ,['10'],2019/4/24 7:10 ,"['183161298 ', ' 2018-08-18加入']"                      ,274
['江西景德镇']                                  ,BUG太多，穿越设定太落下风，打斗还不如上一部，一个有印象的打斗镜头都没有。美队结局大BUG，地球科技太无敌，只要你想，无限宝石可以批发了。作为系列终章，太失望了                                                                                                                                                                                                                                                                                     ,很差      ,看过  ,白死            ,['10'],2019/4/24 4:22 ,"['33650664 ', ' 2010-01-23加入']"                       ,299
['上海']                                     ,"铁人和灭霸一换一；寡妇一个人来一个人走；美队体验完美人生；灭霸吐槽我他喵被鞭尸两次；吃瓜群众都活了。
拖沓矫情的前戏+智商和实力飘忽不定的灭霸+打架从不抱团的妇联+刻意但硬不起来的牺牲+你不是漫威粉+死贵票价和时间=平庸的句号"                                                                                                                                                                                                                                                                                                       ,较差      ,看过  ,白白的           ,['20'],2019/4/24 9:54 ,"['66645706 ', ' 2012-11-27加入']"                       ,256
[]                                         ,"剧情混乱不堪，科幻的成分几乎为0,也就剩下情怀了。"                                                                                                                                                                                                                                                                                                                                           ,很差      ,看过  ,fanwiki       ,['10'],2019/4/24 7:52 ,"['39781506 ', ' 2010-04-27加入']"                       ,234
['广东深圳']                                   ,比预想中还更糊弄的剧情，比上一部更少的人物，场面却更加失控，全靠观众自我感动。MCU十年，留下无数烂梗，即便被打碎也不会化成灰散落风中，恐怕再过十年也不会消失。                                                                                                                                                                                                                                                                                      ,很差      ,看过  ,Thomas        ,['10'],2019/4/24 23:27,"['thomasneeson ', ' 2006-08-16加入']"                   ,155
['北京']                                     ,从首部到终篇因为故事线过多而剧情显得散乱的问题如今倒也成了风格 尽管觉得从某个角色着重讲述会有更好的结果 但也只能说是萝卜青菜 可为了煽情而让某人没有足够铺垫的拿起某个东西实在让人莫名其妙 当然这是小问题可以忽略 然鹅前半部分缓慢的节奏（后半段有所改善）和后半段祖母悖论导致的无法自圆其说的逻辑漏洞实在让我忍无可忍 当然对于狂热粉来说可能根本不会考虑到这些吧 早就被十多年狂热的情绪无视了一切bug 所以电影啊终究看个各自欢喜 但是如果想自己好好享受这部作品 切忌粉丝场 吵得影响观影体验                                                                                                                  ,较差      ,看过  ,猫小珥           ,['20'],2019/4/24 4:03 ,"['achering ', ' 2008-06-01加入']"                       ,102
"['Lusaka, Zambia']"                       ,原谅我真的不懂，特效确实很牛叉，但是剧情和国产烂片有什么区别。                                                                                                                                                                                                                                                                                                                                       ,很差      ,看过  ,瓜瓜饼饼          ,['10'],2019/4/24 11:22,"['172397947 ', ' 2018-01-10加入']"                      ,102
"['Athínai, Greece']"                      ,果不其然战斗场面仍然只会八百标兵奔北坡两方人马跑跑跑。对前人作品的恶意醋意溢出屏幕。抖机灵，把所有时间穿越类科幻作品鄙视一遍之后自己搞出来一坨屎，屎上还爬满bug。锤哥真是倒了八辈子霉，角色直接被毁，其他角色也没好到哪儿去。节奏一塌糊涂，煽情刻意，西皮则当作嗟来之食望你脸上扔。唯一一星是给各位演员的，这样豪华的阵容怕是很长一段时间都难再见了。                                                                                                                                                                                          ,很差      ,看过  ,雅典娜           ,['10'],2019/4/24 23:07,"['Athenalotr ', ' 2005-12-05加入']"                     ,68
['浙江杭州']                                   ,这剧本大概是个普通fanfic水平的卖情怀，剪辑还烂成这样，完全不知道导演是干嘛用的……                                                                                                                                                                                                                                                                                                                          ,较差      ,看过  ,殇潮|Enigma     ,['20'],2019/4/25 20:28,"['freddy_xu ', ' 2006-10-22加入']"                      ,71
['湖南长沙']                                   ,"看过沙马兰的《不死劫》三部曲后再看这种虚假的“悲壮”，感觉妇联4简直是过家家……
漫威系列至今为止第一部完全拒绝非粉丝观众的电影，剪辑运镜依旧延续之前的“漫威样板戏”风格，结尾人人有镜头的大联欢，影院中欢呼声与“这谁？”此起彼伏。穿越设定终于有了一丝久违的科幻味，穿越戏的处理方式（说白了就是套拍和素材回收）放在超英片里也算是一记不错的情怀杀，谁能想到波特曼会以这种形式回归呢？但设定漏洞和OOC简直多到完全不能回头想，跳崖抢先战和手套接力赛两场戏之荒诞堪比闹剧。而且，就这么点戏份，真有必要拍部《惊奇队长》铺路么？"                                                                                                                                            ,较差      ,看过  ,字母君           ,['20'],2019/4/24 0:13 ,"['78164697 ', ' 2013-09-19加入']"                       ,84
['上海']                                     ,冗长无趣，全程被巨大的尴尬笼罩，一群女英雄站在一起那幕政治目的明确得我快吐了。即使拖沓成这样戏显然还是不够分，导致所有人物基本上跟会动的手办没什么区别。一个商品英雄时代终结，必然会有下一个跟上，真有几分感慨之处可能也只是自己再也回不到看这样的电影还会激动的年代了吧。                                                                                                                                                                                                                                 ,较差      ,看过  ,Lycidas       ,['20'],2019/4/27 12:43,"['raquelycidas ', ' 2010-10-18加入']"                   ,57
"['Oslo, Norway']"                         ,....漫威，你要搞情怀我理解，你想打断同人所有路子也行，你要让英雄去过自己的日子也能理解。但这样的结局几个意思，真的没必要，没必要连带着把人姑娘原有的生活都给吞掉了，也没必要那么生硬的选择无视背后另一个过时之人。没必要。                                                                                                                                                                                                                                                       ,很差      ,看过  ,UUUUUUUUU     ,['10'],2019/4/24 7:32 ,"['63189858 ', ' 2012-07-18加入']"                       ,71
['北京']                                     ,对美国队长史蒂夫罗杰斯和对雷神索尔人格和过往的极度侮辱 恭喜你 恶心和逼走真爱粉 漫威你做到了                                                                                                                                                                                                                                                                                                                       ,很差      ,看过  ,НастяCyan     ,['10'],2019/4/24 7:54 ,"['189266064 ', ' 2018-12-28加入']"                      ,76
['广东广州']                                   ,我的漫威初心不是钢铁侠，也不是美国队长，是2011年的雷神托尔，这部电影我贡献了三次票房，并在看完之后注册了豆瓣，写了第一篇豆瓣影评，这也是我标记的第一部电影，对于看过复联四的人，我想我没必要再说下去了。                                                                                                                                                                                                                                                                ,较差      ,看过  ,namine        ,['20'],2019/4/24 17:19,"['51763291 ', ' 2011-05-21加入']"                       ,73
[]                                         ,"Revenge! 希望他们可以有一个好的结局。另：写在影迷盛典后，之前一直觉得导演对一些角色很不重视，似乎很草率地决定了他们的命运，但后面慢慢才发现为了MCU这个整体，的确需要在一些方面做出让步，影迷盛典上主创们真的很让影迷感动，所以无论如何，谢谢他们。

写在观影后。
感觉完完全全被辜负。逻辑实在太乱，剧情破碎，仿佛是一场为了让卡司登场而展示的大卖场。
十年，结局不过如此。"                                                                                                                                                                                                                                      ,较差      ,看过  ,吃半个欧包         ,['20'],2019/4/24 9:05 ,"['192400243 ', ' 2019-02-25加入']"                      ,76
['上海']                                     ,一场长达三个小时的大型过家家，最后居然没有彩蛋，害得我白等十分钟。摔！弃剧了                                                                                                                                                                                                                                                                                                                                ,很差      ,看过  ,rivert        ,['10'],2019/4/24 15:40,"['RIVERT ', ' 2006-07-06加入']"                         ,78
['上海']                                     ,对路人不友好的粉丝向电影，三个小时真是超级拖拉，前一个小时全是尿点，完全可以上个厕所抽支烟再和门口检票的小姑娘劈劈情操，中间一小时文戏也太多，最后一小时高潮。平行宇宙和时空穿越bug太多，无力吐槽，打斗也少，不够爆米花，复联系列还是第三部最精彩                                                                                                                                                                                                                                            ,较差      ,看过  ,千寻亿选          ,['20'],2019/4/24 17:55,"['2574034 ', ' 2008-06-09加入']"                        ,66
[]                                         ,预想太高   过分失望   3小时的喜剧片                                                                                                                                                                                                                                                                                                                                                 ,较差      ,看过  ,方立天           ,['20'],2019/4/24 8:10 ,"['186781581 ', ' 2018-11-03加入']"                      ,70
[]                                         ,妇联4一如既往的弱智剧情，不知道多少人无脑跟风，我相信有人或许是感动了，但大部分在朋友圈刷文的都是跟风的，因为这部只有特效和好莱坞流量明星的商业片，网络上充斥着各种矫情做作的文章，看得令人生厌，真是散发恶浓烂臭，就电影本身而言，我不否认它的优秀的商业价值，但看不惯那些跟风舔的人                                                                                                                                                                                                                           ,较差      ,看过  ,Simon         ,['20'],2019/4/24 10:48,"['148485384 ', ' 2016-07-18加入']"                      ,72
['北京']                                     ,那些出生入死的CP，最后，死的死，肥的肥，剩下的搓堆儿搞BG老婆孩子热炕头，这样一看，死和肥也不失为侥幸                                                                                                                                                                                                                                                                                                                  ,还行      ,看过  ,懒羊羊的蛋糕        ,['30'],2019/4/25 15:40,"['51142187 ', ' 2011-04-26加入']"                       ,0
['上海']                                     ,对于没什么漫威概念的我来讲，这片子真是粗糙到可以，到最后挤进一大堆本集前三分之二根本没出现过的人物，想来是几部前集的，根本就是百货公司玩具柜台货品盘点。另外，千万不要看粉丝场，我出了近五年最贵的票钱，结果边上三个小伙子一路奉送评论音轨，不晓得自己是赚大了还是亏大了~                                                                                                                                                                                                                                 ,较差      ,看过  ,Tyger Tyger   ,['20'],2019/4/27 20:34,"['tangweijie ', ' 2006-09-11加入']"                     ,27
[]                                         ,剧情乱七八糟，太多剧情杀                                                                                                                                                                                                                                                                                                                                                          ,较差      ,看过  ,萝卜^^          ,['20'],2019/4/24 7:19 ,"['40890267 ', ' 2010-05-19加入']"                       ,42
[]                                         ,快快走好漫威，真的，十年结束了，你也该消停消停了，你从开始的好好做电影，慢慢变成了套路和圈钱，这种剧情，就好像拿枪逼着你让你哭。                                                                                                                                                                                                                                                                                                      ,较差      ,看过  ,千舟            ,['20'],2019/4/24 7:24 ,"['qzcut ', ' 2015-07-06加入']"                          ,38
[]                                         ,你叨叨叨叨叨，你好比浪涛，三个小时，叨逼了两个小时，剩下一个小时组合王八拳乱抡。                                                                                                                                                                                                                                                                                                                              ,很差      ,看过  ,cb400ss       ,['10'],2019/4/24 10:20,"['147005273 ', ' 2016-06-12加入']"                      ,30
['上海']                                     ,"1981年，克莱蒙特在漫画中将变种人逼入了绝境，然后以逆转时间的方式搬回了败局；
2010年，弥赛亚再临里，叉人编剧部又故技重施，利用时间跳跃把敌人杀死于娘胎；
2013年，雷蒙德又一次把炸掉地球，然后让UA穿越回去拯救世界。
2014年，X系列的原罪支线，还是熟悉的配方——回到过去阻止大毁灭；
……
就在前几天我还在抱怨，漫威最没有创造力的就是叉男编剧部，一个逆转时间用了快40年。然而今天我发现不仅是叉男编辑部，复仇者电影也用了老梗。只能说这一代的编剧想象力都枯竭了。想必Markus在写剧本前与那些创作漫画的同行们交流过，最终总结出缺乏好故事的情况下糊弄观众的万能法宝——逆转时间。主线定完后，再死几个人，加入一些煽情的回忆，一个套路化的剧本就完成了。
没错，情怀和眼泪就是如此廉价。"                                                                                                                                                                                    ,较差      ,看过  ,哦天哪天          ,['20'],2019/4/25 23:14,"['136586794 ', ' 2015-10-25加入']"                      ,25
['北京']                                     ,最为史上最豪华最糟糕的肥皂剧 终于完结啦 试问一下 漫威这波太极打完 往后打啥                                                                                                                                                                                                                                                                                                                               ,很差      ,看过  ,起来就走          ,['10'],2019/4/24 10:24,"['45957568 ', ' 2010-09-18加入']"                       ,31
['北京']                                     ,她不配有家人，不配有童年，不配有战争，不配有爱情，不配成为英雄，也就不配有结局                                                                                                                                                                                                                                                                                                                               ,很差      ,看过  ,Y             ,['10'],2019/4/28 23:27,"['GenerationY ', ' 2009-02-09加入']"                    ,11
['北京']                                     ,一个剧本同时用上“时间旅行”加“平行宇宙”的时候，就不要对剧情合理性抱任何期待了，再加上10几个主角的前史负担，不可能翻出任何新意，只能在每场戏里抖抖“美国屁股”这种小包袱。动作戏量少质差，再加惊奇队长这种bug式的设定，还有啥好打的？缺乏悬念，卖情怀又对我这种非粉根本无效，整部片子看的好生无趣。两颗星给勉强及格的决战。看完我只想说：终于结束了。                                                                                                                                                                                        ,较差      ,看过  ,风间隼           ,['20'],2019/5/5 10:47 ,"['fengjiansun ', ' 2008-05-25加入']"                    ,15
['北京']                                     ,典型的共犯—共感世界，以反類型來鞏固類型。鋼鐵俠的告別依舊是工整的神話敘事：他是不得不死的，一是因為真正的英雄在完成尋父歷程後（他的愛情也服務於尋父）便註定要以赴死來作真正的回歸，這是作為文本內最高價值物的情感也無法扭轉的。二是因為其實很多時候英雄還是依賴他者來書寫的，而有趣的是，這次結局不再是由區別於英雄的凡人來建構神話，而是由另一個英雄即奇異博士來直接推動（是同步的在場的，而不是修飾的限制的）這個英雄去犧牲并抽去他日常化的可能——但換個角度想，參與到這種推動的其實首先是觀眾（最需要他以死來成就自身乃至一切的其實是觀眾，這是為求最大的共情，也是為把漫威/觀眾的十年作一儀式性的描繪）。至於滅霸，他衹能被建構成被動的失語者以及鋼鐵俠的「他我」——這種一體兩面的設置讓類《守望者》的結尾再無可能。        ,较差      ,看过  ,天涯弦歌          ,['20'],2019/4/24 18:14,"['z13690497588 ', ' 2016-11-07加入']"                   ,34
['Cura?ao']                                ,不是一两句能骂清楚的，拍得比3还难看，锤整个疯疯癫癫比肩a3绿巨的设定完全是崩坏的，惊奇女士去凹造型也算不上。朗蚁话唠可爱戏份多没了。两位初代的强行牺牲脸谱到我惊，众人物集体回归场面乱炖到我惊。从“we don’t trade lives”到“assemble”cap的结局在我心中从不圆满。cp全be以及完全可以剪成两小时的，三小时反倒没啥实际东西还不如给那些永远也回不来的人多几个镜头。假剧本假预告段子一套一套营销飞起，罗氏兄弟死了again，这样的十年收官不值且恶。                                                                                                                          ,较差      ,看过  ,alongtimeago  ,['20'],2019/4/24 21:33,"['166546792 ', ' 2017-09-09加入']"                      ,22
['四川成都']                                   ,55/100，极度不自然的文本，最好笑的是是第一幕各种挪愚“时空穿越”，结果第二幕还是人家玩过的东西，甚至不如前者。情绪渲染是比A3更足的，但是这种密集文本以及笑料破坏了这种情绪。不过充分发挥了“连续剧”式电影构建的好处。可以抛弃一切需要共情的，当观看建立在足够了解的前提下，会有天然情绪赋予一切人物，于是在文本框架内，任何不合理或者欠考虑的发展，也都能成为牵动心绪的振波。在影像层面，罗素还是那么的不会调度，第三幕的群像还是很崩塌，只能做到面-点的展示结构。作为终章而言，这种程度显然还是太敷衍，整个收束草率，展现的反馈也不够，对于死去的人物更是没有足够的尊重。不仅是电影层面的，作为生产者也有责任。                                                         ,较差      ,看过  ,德卡的羊          ,['20'],2019/5/1 22:40 ,"['146177041 ', ' 2016-05-23加入']"                      ,8
"[""P'y?ngyang, North Korea""]"            ,更多更全更大更抒情，但并没有更多实质内容（比如人物发展、动机、矛盾之类的）。为什么砍手这一招就用了一次？最后的解决方案在我看来甚至比灭霸的做法更有问题。当然这是粉丝自我感动的狂欢时刻，我这个外人为什么要认真呢                                                                                                                                                                                                                                                              ,很差      ,看过  ,MostlyHarmless,['10'],2019/5/1 12:02 ,"['kate1138 ', ' 2008-10-25加入', '\n        ', '\n']"   ,6
['北京']                                     ,前一小时基本是在唠嗑下浪费时间看的想睡觉，第二个小时才是正片开始，预期也知道是跟时光机有关，后边剧情也是快餐式的打来打去，结局也并没觉得什么特别意外，合约到期新老交替该淘汰就淘汰呗，商业烂片                                                                                                                                                                                                                                                                       ,较差      ,看过  ,Cloud         ,['20'],2019/4/26 5:28 ,"['54697481 ', ' 2011-09-28加入']"                       ,14
['江西南昌']                                   ,我的娜塔莎 3000                                                                                                                                                                                                                                                                                                                                                            ,很差      ,看过  ,今晚看电影         ,['10'],2019/4/25 1:17 ,"['1526470 ', ' 2007-04-25加入']"                        ,12
"['Stockholm, Sweden']"                    ,罗素兄弟——美国魔法特                                                                                                                                                                                                                                                                                                                                                           ,很差      ,看过  ,令和学习机器        ,['10'],2019/4/29 22:41,"['dusk.xiyang ', ' 2009-07-09加入']"                    ,7
[]                                         ,以为要看《手撕灭霸》，最后发现看的是《钢铁侠4》。                                                                                                                                                                                                                                                                                                                                             ,很差      ,看过  ,XXXXL         ,['10'],2019/4/25 14:05,"['106579133 ', ' 2014-11-09加入']"                      ,25
"['Berlin, Germany']"                      ,唉难道只有我觉得相当难看嘛……                                                                                                                                                                                                                                                                                                                                                       ,较差      ,看过  ,Spring        ,['20'],2019/4/27 16:11,"['Spring_LQ ', ' 2008-12-07加入']"                      ,11
['重庆']                                     ,我一锤子锤死罗素兄弟，锤哥队长绿胖人设崩妈不认，滚啊！！鹰寡szd也是个笑话。/为一秒老贾尖叫。                                                                                                                                                                                                                                                                                                                      ,较差      ,看过  ,sherrychan    ,['20'],2019/4/24 23:47,"['sherrychan49 ', ' 2010-10-28加入']"                   ,15
['上海']                                     ,前一小时过于冗长套路无聊的铺垫让我直接睡着，导致后面的高潮像打响指一样早泄了。用时空穿越来圆故事，表明编剧自己也编不下去了。                                                                                                                                                                                                                                                                                                        ,较差      ,看过  ,叉叉小箭猪         ,['20'],2019/4/25 4:03 ,"['rollin ', ' 2006-02-09加入']"                         ,11
[]                                         ,一群好人打坏人，先打一遍坏人但是打不出想要的效果，然后换了策略继续打，这个过程中有几个好人不愿意打了，好人的朋友去劝说好人然后把所有的好人都集中起来，到2小时10分的时候好人坏人双方人到齐，打打打打打。目前IMDB排名第6，在《辛德勒的名单》之上，让我有点想可怜重温一下后者。                                                                                                                                                                                                                            ,很差      ,看过  ,架构师           ,['10'],2019/4/26 17:00,"['matlab ', ' 2009-04-11加入']"                         ,6
['湖北武汉']                                   ,说实话，有点拖沓。                                                                                                                                                                                                                                                                                                                                                             ,很差      ,看过  ,草雉素子          ,['10'],2019/4/24 16:10,"['48440561 ', ' 2010-12-29加入']"                       ,6
['北京']                                     ,灭霸绝壁是艺术家。交付自身力量给予世界绝对公平，然后孑然一身于某个孤独星球花园里终老。反观打响指的铁人，凭什么你们队友全活了？灭霸的部下们难道都是没有家人可以全军覆没的嘛？？一星给猩红女巫，也太好看了八                                                                                                                                                                                                                                                                 ,较差      ,看过  ,Something。    ,['20'],2019/4/26 17:23,"['154695656 ', ' 2016-12-06加入']"                      ,11
['上海']                                     ,合着Endgame的意思是不结尾留着尾巴拍美剧？                                                                                                                                                                                                                                                                                                                                              ,很差      ,看过  ,deathcross    ,['10'],2019/4/26 17:44,"['37743957 ', ' 2010-03-27加入']"                       ,9
['重庆']                                     ,电影到头来需要的果然是情怀而非故事。讲好故事需要对世事敏锐的洞察和对技巧的娴熟运用，而情怀往往只需要时间。只要拍得够久，无论是怎样的作品，即使是小孩子们过家家的游戏，也因为融入了太多当事人的个人印记而被镀上比黄金还要珍贵的金色。原本，这样的片子是我们的一场梦，到头来，却成了一面让我们顾影自怜的镜子：我们缺乏原则和底线地原谅它的平庸，就像原谅自己的无能和软弱。《复联4》充分说明了一台晚会和一出故事的发展到最后的矛盾是多么地不可调和，故事需要适当人物下的情感纵深，但晚会只要越多越好的名角，因此情节的走马观花又索然无味成为必然。而漫威最让我觉得滑稽的是，他们用最好的技术、最华丽的阵容，以庄严肃穆的形式演绎着宇宙级史诗，可这些角色为之牺牲的价值观全都是小孩子过家家的玩意，这种错位感就是时代的荒诞吧。        ,较差      ,看过  ,李不言           ,['20'],2019/5/13 22:47,"['Sylein ', ' 2013-01-05加入']"                         ,4
['北京']                                     ,White male fantasy. Women and POC are just tokens.                                                                                                                                                                                                                                                                                                                    ,较差      ,看过  ,helenharris   ,['20'],2019/4/28 7:12 ,"['emotionalvulcan ', ' 2012-03-09加入']"                ,4
['四川乐山']                                   ,陪朋友看首映 电影院里鼓掌？？？你们在鼓啥？不下十次！！！                                                                                                                                                                                                                                                                                                                                         ,较差      ,看过  ,水蜜桃的夏         ,['20'],2019/4/24 11:25,"['74684254 ', ' 2013-07-01加入']"                       ,19
[]                                         ,撇开情怀，从一个电影的基本要素来看，只有视效可以堪堪拿两星。逻辑硬伤，人物ooc，“五年后”这种让人看了就发笑的渐隐字幕都能搬上台，求求罗素兄弟放过迪士尼。                                                                                                                                                                                                                                                                                        ,较差      ,看过  ,看看麻麻吧         ,['20'],2019/4/24 7:46 ,"['171559482 ', ' 2017-12-25加入']"                      ,27
